Brežice;8250
Brezovica pri Ljubljani;1351
Brezje;4243
Bresternica;2354
Brestanica;8280
Breginj;5223
Braslovče;3314
Branik;5295
Bovec;5230
Boštanj;8294
Borovnica;1353
Bohinjsko jezero;4265
Bohinjska Bistrica;4264
Bohinjska Bela;4263
Bogojina;9222
Bodonci;9265
Blejska Dobrava;4273
Bled;4260
Blanca;8283
Blagovica;1223
Bizeljsko;8259
Bistrica ob Sotli;3256
Bistrica ob Dravi;2345
Benedikt;2234
Beltinci;9231
Begunje pri Cerknici;1382
Begunje na Gorenjskem;4275
Artiče;8253
Apače;9253
Ankaran/Ancarano;6280
Ajdovščina;5270
Adlešiči;8341
